SSR Code: 3055
Latitude,Longitude
24.964344,56.068522
24.968045,56.068913
24.971741,56.069300
24.975443,56.069686
24.979139,56.070072
24.982835,56.070458
24.986526,56.070936
24.990179,56.071676
24.993832,56.072416
24.997711,56.073200
25.001369,56.073940
25.003155,56.071714
25.003831,56.067701
25.004507,56.063694
25.005178,56.059687
25.005854,56.055674
25.006524,56.051667
25.007200,56.047660
25.007871,56.043647
25.004759,56.042499
25.001106,56.041764
24.997453,56.041024
24.994031,56.040332
24.990377,56.039591
24.986719,56.038851
24.984745,56.040788
24.984069,56.044795
24.983398,56.048802
24.982722,56.052809
24.982052,56.056817
24.981376,56.060829
24.980705,56.064836
24.980029,56.068844
24.979354,56.072851
24.978109,56.076102
24.974397,56.076069
24.970679,56.076037
